,Car_name,mileage,dealer_name,Service_ratings,Service_reviews,consumer_ratings,consumer_reviews,price,Ext_color,Int_color,drive_train,fuel_type,transmission,engine
139,2019 Mercedes-Benz CLA 250 Base 4MATIC,"40,669 mi.",Mercedes-Benz of Ann Arbor,4.7,(465 reviews),4.1,(17 reviews),"$30,500", Polar White , Black , All-wheel Drive ,E85 Flex Fuel ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
140,2019 Mercedes-Benz GLA 250 Base 4MATIC,"18,130 mi.",Mercedes-Benz of Fort Washington,4.6,"(2,361 reviews)",4.6,(33 reviews),"$35,739", Polar White , Shara Beige , All-wheel Drive ,E85 Flex Fuel ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
141,2021 Mercedes-Benz C-Class C 300 4MATIC,"11,224 mi.",Mercedes-Benz of Burlington,4.7,(263 reviews),5.0,(4 reviews),"$45,491", Polar White , AMG Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
142,2021 Mercedes-Benz GLE 350 Base,"14,718 mi.",Mercedes-Benz of Birmingham,4.9,(811 reviews),4.8,(17 reviews),"$68,994", Black , Black , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
143,2021 Mercedes-Benz GLB 250 Base 4MATIC,"13,706 mi.",Mercedes-Benz of Orange County NY,4.7,(65 reviews),4.4,(10 reviews),"$43,494", Midnight Black , Black , All-wheel Drive ,Gasoline ,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
144,2020 Mercedes-Benz AMG G 63 Base,"21,300 mi.",Mercedes-Benz of Miami,4.6,"(1,045 reviews)",4.1,(3 reviews),"$209,000", Obsidian Black Metallic , – , All-wheel Drive ,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
145,2019 Mercedes-Benz GLA 250 Base 4MATIC,"36,842 mi.",Mercedes-Benz of Santa Rosa,4.2,(29 reviews),4.6,(33 reviews),"$30,970", Polar White , Black , All-wheel Drive ,E85 Flex Fuel ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
146,2020 Mercedes-Benz E-Class E 350,"32,722 mi.",Mercedes-Benz of Carlsbad,4.8,(418 reviews),5.0,(10 reviews),"$43,995", Blue , Macchiato Beige , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
147,2019 Mercedes-Benz GLS 450 4MATIC,"29,487 mi.",Mercedes-Benz of Westwood,4.5,(426 reviews),5.0,(10 reviews),"$55,555", Iridium Silver Metallic , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
148,2018 Mercedes-Benz C-Class C 300,"22,915 mi.",Mercedes-Benz of Walnut Creek,4.6,(884 reviews),4.8,(66 reviews),"$31,499", Black , Black , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
149,2021 Mercedes-Benz GLE 350 Base,"13,803 mi.",Mercedes-Benz of Pembroke Pines,4.6,"(1,127 reviews)",4.8,(17 reviews),"$65,499", Obsidian Black Metallic , – , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
150,2021 Mercedes-Benz GLC 300 Base 4MATIC,"16,539 mi.",Mercedes-Benz of Oakland,4.0,(64 reviews),4.7,(16 reviews),"$40,986", Polar White , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
151,2021 Mercedes-Benz AMG GLE 53 Base,"15,499 mi.",RBM of Atlanta,4.9,"(1,013 reviews)",3.6,(16 reviews),"$106,874", Obsidian Black Metallic , Tartufo Brown , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
152,2020 Mercedes-Benz GLE 350 Base 4MATIC,"25,804 mi.",Mercedes-Benz of Alexandria,4.8,(993 reviews),4.3,(75 reviews),"$62,862", Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
153,2021 Mercedes-Benz S-Class S 580 4MATIC,"10,916 mi.",Mercedes-Benz of Houston Greenway,4.7,"(2,064 reviews)",,,"$117,397", Black , – , All-wheel Drive ,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
154,2020 Mercedes-Benz GLE 350 Base 4MATIC,"18,995 mi.","Mercedes-Benz Manhattan, Inc.",4.5,(454 reviews),4.3,(75 reviews),"$56,184", Mojave Silver Metallic , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
155,2019 Mercedes-Benz GLC 300 Base,"32,985 mi.",Mercedes-Benz of Marietta,4.7,(474 reviews),4.6,(72 reviews),"$39,999", Black , – , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
156,2021 Mercedes-Benz G-Class G 550 4MATIC,"17,606 mi.",Fletcher Jones Motorcars,4.8,"(5,262 reviews)",,,"$179,894", Obsidian Black Metallic , Platinum White , All-wheel Drive ,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
157,2021 Mercedes-Benz GLE 350 Base 4MATIC,"20,240 mi.",Mercedes-Benz of State College,5.0,(2 reviews),4.8,(17 reviews),"$61,495", Polar White , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
158,2021 Mercedes-Benz S-Class S 580 4MATIC,850 mi.,Star Motor Cars,3.9,(55 reviews),,,"$124,800", Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
159,2019 Mercedes-Benz C-Class C 300 4MATIC,"38,309 mi.",Mercedes-Benz of Naperville,4.7,(657 reviews),4.8,(40 reviews),"$33,977", Black , – , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
160,2019 Toyota Camry LE,"42,340 mi.",Rudy Luther Toyota,4.8,"(3,410 reviews)",4.8,(309 reviews),"$26,990", Midnight Black Metallic , Black , Front-wheel Drive ,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC
161,2019 Toyota RAV4 Adventure,"31,502 mi.",Ron Tonkin Toyota,4.4,(348 reviews),4.6,(444 reviews),"$37,273", Lunar Rock , Black , All-wheel Drive ,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC
